address,contributed (ETH)
0x4892fb9e1578c7d4cd0280a7b932d3ea99d18119,500.0
0x59795fccfbe2f166651c6b73d10a7a1522a0ed89,500.0
0xb7f1498898d70685851b5331f64bf26215f00415,220.0
0x5dd3f5a29e4e1b17a7a456364af7077efb2be020,151.05
0xb1d2b57460dc60fc35cb8e456006aca6d94b4314,130.0
0x1cf16bfb364bd4b11f9f6a0706fe4c2b3aa0439a,80.0
0x2182e148c7fbbeed9807a458deded770f79d0403,80.0
0xc2e7aa279f277c0fe1e3f4714f08ff74dc535011,80.0
0xbd4d2a9273c97ef7727c2eafafc46851d7f832a2,75.74313569
0xc0aeff1c2bd3482d19b8c4c3456c7ef7a94b94d7,75.5
0x2cb52c0850e3a2fc716d77f7c266cd2f48e3e5f2,70.80000000000001
0x0e1bdc510f5db681a5ea651988415aadb4cde6f8,69.3
0x7d3a15ae8cb687862920f2bd0cfe2b39b8044081,69.2
0x8afc7fdba2f0ec3023044bee2888d1340c05390c,63.2
0xa15913ea3d1e2ca9bb664df9a3811910b2e95386,60.0
0xa09c71abc6ddcfeb38b68eef7d236d0f4b94c11d,54.0
0x9852fed24719be4fc525fc13ebe55ed2b97d69d1,50.0
0x35df75ee381767e5e2a82989bab88fb010464641,50.0
0x2a4ac2c4e6287e4afb0d62f7ffae0040d631bf99,50.0
0x7b10ccbab34cb7510a2298809302154734a9de91,45.07
0x541659cd966fce5d12c1eb81c0bb434f503d6d22,35.0
0x6d82fda6e5d6dedf42042f3ddfa2b78b152b6402,35.0
0x0614ac0dd64b2807aac7a29dde2da2e3e10bc184,34.0
0x7f4bdfd1ffc101b07b7be0fe99ac78c964fd9db7,30.0
0x83ff39f118e1e46cc40706f98a37dabd8a45d0ac,30.0
0x1d938c0286b44e40b864a3bd3b950dbb79e2d620,30.0
0x65872210d88d73f03e8ffcf30a11d33e6d4365d5,29.0
0x37ca7fa6b0032213e2de9e3237210eaf2604cd69,27.013
0x0691c0748c23ac21a4954f2b69d2d3807b678ed0,25.0
0xcf51232d23a9615a01dda307ae6c3b2d0759743b,25.0
0x1201c1afe13cfd18a193a875f928eba68af2b48a,25.0
0x1e32a859d69dde58d03820f8f138c99b688d132f,22.23
0x95576498d5c2971bea1986ee92a3971de0747fc0,22.0
0xf65fa6a64cb4e54c89450b0c4cae62ec245d9ca6,20.26
0x5064362bf123f84fd751b2b5351055ac9e764cf7,20.01
0x853565f45bbda4aec1cd9d40cf43726427906666,20.0
0x33aad00464ff3ee569e034ec0c23c7c545b1e541,20.0
0xc350d1ecc1c71e41612be8c6c690f8af4dda32e6,20.0
0x7c4b132ffb0fa246073fea9aa87589a7786d20d0,20.0
0x00e903a436478d91deb675068de6f0f9ff45217b,20.0
0x70cf8365fbd6a37eae071c2ed6d3924b95c8ff91,20.0
0x86fafe0fca35bc79cd5ef4e883c669e0152253a4,17.0
0xa4f0f69d39d8f1c05fd3819ac8f9d5b6efee94d0,16.034099134
0xa8b3a72b4ec10448199e17a0d8b619392aadeb49,15.0
0x305182f5609648f8b69d0cf9a00ab82aca41f450,15.0
0x9ec3f3535c8159f1ae731ac27ca32c71456d68d5,15.0
0x2c4f9f3aa0397ce7ee4a74128aa1d48c17d623c9,15.0
0xaf3c6abcd39f7f5f54164c7f1e01bf25a609851b,15.0
0x52aafa971e3fb0ce60f00cb2a557eae714b205ad,14.9
