"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $296.02/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0x5ecb58b2d4dfed20656f10c7cdb7c8ea73263c50f5de2d643ccf2604dd17668f","4252576","1504895835","9/8/2017 6:37:15 PM","0xc74f02f0fc3b39591b2d3aea4f1b9a06eb485d7c","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.421938598","0","124.90226377996","0.0042","1.243284","","Error(0)","Bad instruction"
"0x19cf42568aacfc8b8fdd8b9dc7ea4d118c6e1f1423d7ae29833271b6ee6732e2","4252374","1504891104","9/8/2017 5:18:24 PM","0xc74f02f0fc3b39591b2d3aea4f1b9a06eb485d7c","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.426138598","0","126.14554777996","0.00441","1.3054482","","Error(0)","Bad instruction"
"0x54c5b6b82260c302746b784ed7044fb15bc82d32058105f8333ab71888925644","4252351","1504890550","9/8/2017 5:09:10 PM","0xc74f02f0fc3b39591b2d3aea4f1b9a06eb485d7c","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.430548598","0","127.45099597996","0.0042","1.243284","","Error(0)","Bad instruction"
"0x037f944a3cd5c043ac60ea2f9f5236dbb50368d4532ed2e55107c756447e7fbb","4252344","1504890374","9/8/2017 5:06:14 PM","0x592c6dc01e055c73c938fdd3063356f1044dbb14","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.99","0","293.0598","0.0042","1.243284","","Error(0)","Bad instruction"
"0xcc805e7ebbffa57b7fb553e8b2dbac971a7453f3713433d446cb495de346d2c9","4252343","1504890339","9/8/2017 5:05:39 PM","0xc74f02f0fc3b39591b2d3aea4f1b9a06eb485d7c","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.434748598","0","128.69427997996","0.0042","1.243284","","Error(0)","Bad instruction"
"0xfd0778c8985a7907bf934d72826a0430a344ae32294c02ab1452ff9491ed0fb6","4252331","1504890045","9/8/2017 5:00:45 PM","0x592c6dc01e055c73c938fdd3063356f1044dbb14","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.99","0","293.0598","0.0042","1.243284","","Error(0)","Bad instruction"
"0x3b7baed80d522d7d2c227dc795ad2aebb57761113809f4e200f768c33749564d","4252317","1504889679","9/8/2017 4:54:39 PM","0x592c6dc01e055c73c938fdd3063356f1044dbb14","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.99","0","293.0598","0.0042","1.243284","","Error(0)","Bad instruction"
"0x4775f2e5b7fb2a967b347e99aafee0831b5035e042af5c1b47dc22f6022b97ae","4252083","1504884340","9/8/2017 3:25:40 PM","0x1e430cc05edb9e94627b6ebad398cffc34afed68","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.2","0","59.204","0.0042","1.243284","","Error(0)","Bad instruction"
"0xa0e75528c9b4aafcb0bfa31eb402983b491fb6b9921c362969097d54e47c0a71","4252069","1504883939","9/8/2017 3:18:59 PM","0x01fb009d5b0648a7e4777f28552ecbc40709b41a","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.286","0","84.66172","0.00162135","0.479952027","","",""
"0x6ef6282d76861da17951adae1a8b0328ec30e2f6ddd5bd8266c085dd63ff5d7b","4252034","1504883041","9/8/2017 3:04:01 PM","0x5852eba36d92255b0221c3c350372c90aca65e08","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.9","0","266.418","0.00110472","0.3270192144","","",""
"0x28775f61424388c8c68d98cb423e0a13a824d755afe42db66ecaceff255f2245","4252007","1504882486","9/8/2017 2:54:46 PM","0x66f22756ac476e2bd68d17a09402466182919062","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.13333333","0","39.4693323466","0.001449945","0.4292127189","","",""
"0x2582ac5fab42af8ddee7101f615148510216745449e4a969ed92111e75f28239","4252004","1504882428","9/8/2017 2:53:48 PM","0x447f985545015f114179bf65a92035ad477d859a","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.9","0","266.418","0.001449945","0.4292127189","","",""
"0x7a66fce93ea5121fa48437d7cfa1c94a3df06acfff0ec2dc6891fd17fa48561b","4251947","1504881087","9/8/2017 2:31:27 PM","0x01fb009d5b0648a7e4777f28552ecbc40709b41a","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.785","0","232.3757","0.001726125","0.5109675225","","",""
"0x1fe9b6d59d1b3052b0b04af1ffbf26b09cce9bf2ceadaa6faf3293b945343c6e","4251933","1504880838","9/8/2017 2:27:18 PM","0xb7f1498898d70685851b5331f64bf26215f00415","0x3f0624d68a16f19428584333c1871cdfba0ba870","","220","0","65124.4","0.00400461","1.1854446522","","",""
"0x27cf8720d24c7312ad63646ba9b238ebb2eea786db02f2850c01ea9f20dfc172","4251909","1504880249","9/8/2017 2:17:29 PM","0x5fb76fc16d9ad9a3d82f6d8bd00cd21291c385e4","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.174","0","51.50748","0.00207135","0.613161027","","",""
"0xce253d789dd00e0fdf70264ff932a74664357467df5b7fe48ce6d51c7b893280","4251889","1504879855","9/8/2017 2:10:55 PM","0xfcf68697d623b01d9885517f81f76a3e514ef0f3","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.3","0","88.806","0.0013809","0.408774018","","",""
"0xcb6ebd799557f75399f9db92ff01f63bdb11d93e9d592a8b769e32d711c17560","4251819","1504878403","9/8/2017 1:46:43 PM","0x16ecb92748a648790d6e4829bb1693c615be5ea8","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.3","0","88.806","0.00162135","0.479952027","","",""
"0x8ad1e32d90a96c569e7df66388c102a7b2c97b33ba81e1f76e5d8638fbbd3714","4251786","1504877328","9/8/2017 1:28:48 PM","0x8c2851e73334a54576feeb26f3f876ff9820ab40","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.82633","0","244.6102066","0.0030448845","0.90134670969","","",""
"0xf6a0e1a4f9d9094fd16113d950a249497835a40bca56458d0144001500f3bd28","4251753","1504876506","9/8/2017 1:15:06 PM","0xd2bb8bfb99bb2b457c1dbe41556e1bca436a58c6","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.1785","0","52.83957","0.001449945","0.4292127189","","",""
"0x7ec2740f46a2b51dcf0a38c9742ab9de72c66667745795f74955c0d9593748fa","4251732","1504876044","9/8/2017 1:07:24 PM","0xbe1d9d4933b9ed1f5a5109be3d982e2354af38d1","0x3f0624d68a16f19428584333c1871cdfba0ba870","","0.1","0","29.602","0.00165708","0.4905288216","","",""
